Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
US>Brand Propensities>Travel>American Airlines Buyer Propensity,300x250,Subscribe Today - 10% Discount,"New York City, New York",classmates.com,PulsePoint,Apple PC,12176,10,5460,11154,10,"$1,816.03",$181.60,0.08%,$181.60,$149.15,100.00%,$332.61,48.95104895
Online Behavior>United States>B2B>Occupation>PropertyManager,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",whatismyipaddress.com,Google Ad Manager,Apple PC,7447,10,4163,5586,19,"$3,311.94",$174.31,0.13%,$331.19,$444.73,190.00%,$795.57,74.52559971
Online Behavior>United States>The Changing Consumer>Data For Good>Current Affairs - Social Justice,320x50,Sign up Now - 10% Off,"New York City, New York",mail.yahoo.com,Magnite DV+,Smartphone,1010148,2874,699834,955905,31,"$7,788.70",$251.25,0.28%,$2.71,$7.71,1.08%,$11.13,73.21166852
Lotame>Travel>Thanksgiving Travel,320x50,Sign up Now - 10% Off,"Cincinnati, Ohio",weather.com,Google Ad Manager,Smartphone,36543,147,18046,27358,6,"$1,513.09",$252.18,0.40%,$10.29,$41.41,4.08%,$83.85,65.96242415
Online Behavior>United States>Finance>Insurance>Life Insurance,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",drugs.com,Magnite DV+,Smartphone,18401,66,11051,17202,26,"$6,571.49",$252.75,0.36%,$99.57,$357.13,39.39%,$594.65,64.24252994
Online Behavior>United States>Sports>Sports League>NBA,320x50,10% Discount - Ends 6/1,"Jacksonville, Florida",biblegateway.com,Magnite DV+,Smartphone,149618,260,126031,140596,26,"$6,605.59",$254.06,0.17%,$25.41,$44.15,10.00%,$52.41,89.64053031
US>Demographic>Family>Male Head of Household,320x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",slickdeals.net,BidSwitch,Smartphone,12510,74,4391,9098,6,"$1,524.47",$254.08,0.59%,$20.60,$121.86,8.11%,$347.18,48.26335458
OnAudience>Interest>Technology & Computing>Internet Technology,300x250,Subscribe Today - 10% Discount,"Panama City, Florida",ign.com,OpenX,Smartphone,13833,84,7693,13237,6,"$1,526.79",$254.46,0.61%,$18.18,$110.37,7.14%,$198.46,58.1173982
Real Estate>Sale Activity>Just Sold,320x50,Sign up Now - 10% Off,"Lafayette, Indiana",forbes.com,Google Ad Manager,Smartphone,111884,220,53017,106432,7,"$1,786.11",$255.16,0.20%,$8.12,$15.96,3.18%,$33.69,49.81302616
US>Financially in Charge>Performance Score: Top 25%,300x250,Sign up Today - 10% Off,"Tri-Cities, Tennessee-Virginia",msn.com,Google Ad Manager,Smartphone,311753,763,170122,256841,6,"$1,543.61",$257.27,0.24%,$2.02,$4.95,0.79%,$9.07,66.23630962
Online Behavior>United States>Food and Drink>Restaurants>Fine Dining,300x250,Sign up Now - 10% Off,"New York City, New York",thesaurus.com,Google Ad Manager,Windows PC,95655,275,9202,85273,24,"$6,189.42",$257.89,0.29%,$22.51,$64.71,8.73%,$672.62,10.79122348
Online Behavior>United States>Travel>Air Travel>Airport Parking and Transportation,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",mail.aol.com,Google Ad Manager,Windows PC,141165,250,102776,128004,28,"$7,222.21",$257.94,0.18%,$28.89,$51.16,11.20%,$70.27,80.2912409
US>Interest Propensities>TV and Movies>Drama,300x250,10% Discount - Ends 6/1,"Los Angeles, California",yahoo.com,PubMatic,Smartphone,556152,1867,221833,480882,7,"$1,818.10",$259.73,0.34%,$0.97,$3.27,0.37%,$8.20,46.13044364
US>Reach>Propensity Models>Hobbies and Interest>Pets>Pet Enthusiast,300x250,Sign up Now - 10% Off,"Los Angeles, California",msn.com,Google Ad Manager,Smartphone,321263,852,172887,263424,6,"$1,576.05",$262.68,0.27%,$1.85,$4.91,0.70%,$9.12,65.63069424
Online Behavior>United States>Travel>Travel Guides and Travelogues,320x50,Subscribe Today - 10% Discount,"San Francisco, California",weather.com,Google Ad Manager,Smartphone,212009,555,16903,149653,15,"$3,983.62",$265.57,0.26%,$7.18,$18.79,2.70%,$235.68,11.29479529
Online Behavior>United States>Sports>Individual Sports>Bowling,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",mail.aol.com,Smart RTB+ (Smartadserver),Windows PC,30460,95,21830,27750,25,"$6,643.97",$265.76,0.31%,$69.94,$218.12,26.32%,$304.35,78.66666667
Online Behavior>United States>News>Local News,320x50,Sign up Today - 10% Off,"Memphis, Tennessee",realtor.com,Yahoo Exchange,Smartphone,44889,125,17477,38621,25,"$6,644.95",$265.80,0.28%,$53.16,$148.03,20.00%,$380.21,45.25258279
Online Behavior>United States>Autos and Vehicles>Brands>Ferrari,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",biblegateway.com,Google Ad Manager,Windows PC,88293,255,24101,75557,19,"$5,054.48",$266.03,0.29%,$19.82,$57.25,7.45%,$209.72,31.89777254
US>Brand Propensities>Media and Entertainment>wwe.com Buyer Propensity,300x250,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",allrecipes.com,Google Ad Manager,Windows PC,20348,101,14945,19548,6,"$1,596.55",$266.09,0.50%,$15.81,$78.46,5.94%,$106.83,76.45283405
US>Brand Propensities>Travel>Hotel Tonight Buyer Propensity,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",biblegateway.com,Magnite DV+,Smartphone,188170,490,155266,176562,6,"$1,599.72",$266.62,0.26%,$3.26,$8.50,1.22%,$10.30,87.93851452
US>Reach>Propensity Models>Hobbies and Interest>Cultural Arts,300x250,Subscribe Today - 10% Discount,"Peoria-Bloomington, Illinois",people.com,Google Ad Manager,Smartphone,17620,52,11197,16687,9,"$2,407.79",$267.53,0.30%,$46.30,$136.65,17.31%,$215.04,67.10013783
OnAudience>Interest>Arts & Entertainment,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",redfin.com,OpenX,Smartphone,37617,85,5092,34373,6,"$1,608.88",$268.15,0.23%,$18.93,$42.77,7.06%,$315.96,14.81395281
Online Behavior>United States>Beauty and Fitness>Cosmetology and Beauty Professionals,320x50,Subscribe Today - 10% Discount,"New York City, New York",dotesports.com,Xandr - Monetize SSP (AppNexus),Smartphone,18022,30,10618,16643,15,"$4,051.16",$270.08,0.17%,$135.04,$224.79,50.00%,$381.54,63.798594
Online Behavior>United States>Autos and Vehicles>Brands>Saab,320x50,10% Discount - Ends 6/1,"Jackson, Mississippi",geeksforgeeks.org,Google Ad Manager,Smartphone,109709,278,3064,15428,20,"$5,409.08",$270.45,0.25%,$19.46,$49.30,7.19%,"$1,765.37",19.85999481
Online Behavior>United States>Validated Demographic>Gender>Male,320x50,Sign up Today - 10% Off,"San Francisco, California",kbb.com,Google Ad Manager,Smartphone,48947,230,32089,45597,21,"$5,702.29",$271.54,0.47%,$24.79,$116.50,9.13%,$177.70,70.37524399
Online Behavior>United States>Intent>Services>Pets,300x250,Sign up Now - 10% Off,"Memphis, Tennessee",yahoo.com,Magnite DV+,Smartphone,818919,1987,395852,699064,22,"$6,012.10",$273.28,0.24%,$3.03,$7.34,1.11%,$15.19,56.62600277
Online Behavior>United States>Autos and Vehicles>Vehicle Parts and Accessories,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",pandora.com,Xandr - Monetize SSP (AppNexus),Smartphone,58477,135,43554,56558,19,"$5,247.62",$276.19,0.23%,$38.87,$89.74,14.07%,$120.49,77.00767354
US>AUTO>Decision Maker for Auto Purchase>I was the sole decision-maker,300x250,Subscribe Today - 10% Discount,"New York City, New York",yahoo.com,Google Ad Manager,Smartphone,1116343,3104,550519,977978,9,"$2,494.22",$277.14,0.28%,$0.80,$2.23,0.29%,$4.53,56.29155257
Online Behavior>United States>Autos and Vehicles>Brands>Kia,300x50,Subscribe Today - 10% Discount,"San Francisco, California",weather.com,Google Ad Manager,Smartphone,257862,700,105048,238629,21,"$5,899.43",$280.93,0.27%,$8.43,$22.88,3.00%,$56.16,44.02147266
US>Sociodemographic>PRIZM Premier Social>C2 City Centers,300x250,10% Discount - Ends 6/1,"Lansing, Michigan",rent.com,Google Ad Manager,Windows PC,34278,100,3704,30227,6,"$1,689.08",$281.51,0.29%,$16.89,$49.28,6.00%,$456.02,12.25394515
Online Behavior>United States>Beauty and Fitness>Fashion and Style>Fashion Modeling,320x50,Sign up Now - 10% Off,"Chicago, Illinois",forbes.com,Google Ad Manager,Smartphone,18095,50,10021,16755,24,"$6,768.76",$282.03,0.28%,$135.38,$374.07,48.00%,$675.46,59.80901224
Online Behavior>United States>Games>Educational Games,300x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",forbes.com,Google Ad Manager,Smartphone,119280,400,55665,112913,23,"$6,492.68",$282.29,0.34%,$16.23,$54.43,5.75%,$116.64,49.29901783
US>Sociodemographic>ConneXions Lifestage>M4 Elderly Traditionalists,320x50,Sign up Today - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",mail.yahoo.com,Google Ad Manager,Smartphone,31003,87,12591,22656,8,"$2,294.00",$286.75,0.28%,$26.37,$73.99,9.20%,$182.19,55.5746822
Purchase-Based>Categories>Office Supplies Buyers,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",weather.com,Sharethrough,Smartphone,12280,90,7633,11053,5,"$1,452.21",$290.44,0.73%,$16.14,$118.26,5.56%,$190.25,69.05817425
US Financial>Likely In Market Timing>Not At All Likely to Purchase>Second House/Residence In The Next Year (Financial),300x250,Sign up Now - 10% Off,"Los Angeles, California",maxroll.gg,Google Ad Manager,Smartphone,8944,45,3002,6361,6,"$1,755.48",$292.58,0.50%,$39.01,$196.28,13.33%,$584.77,47.19383745
"Online Behavior>United States>Arts and Entertainment>Events and Listings>Bars, Clubs and Nightlife",300x250,10% Discount - Ends 6/1,"Chicago, Illinois",activebeat.com,Magnite DV+,Windows PC,81905,220,61995,71110,24,"$7,065.67",$294.40,0.27%,$32.12,$86.27,10.91%,$113.97,87.18183097
Online Behavior>United States>Finance>Accounting and Auditing>Bookkeeping,320x50,10% Discount - Ends 6/1,"Jackson, Mississippi",kbb.com,BidSwitch,Smartphone,69523,174,48273,65800,9,"$2,650.00",$294.44,0.25%,$15.23,$38.12,5.17%,$54.90,73.36322188
Online Behavior>United States>Intent>Auto Buyers>Type>SUV,300x250,Sign up Today - 10% Off,"New York City, New York",homeaddict.io,BidSwitch,Windows PC,99205,230,49240,72687,21,"$6,185.00",$294.52,0.23%,$26.89,$62.35,9.13%,$125.61,67.74251242
Online Behavior>United States>Beauty and Fitness>Face and Body Care>Make-Up and Cosmetics,300x250,10% Discount - Ends 6/1,"San Francisco, California",zdnet.com,BidSwitch,Apple PC,7585,13,5396,7417,24,"$7,082.65",$295.11,0.17%,$544.82,$933.77,184.62%,"$1,312.57",72.75178644
Online Behavior>United States>Travel>Specialty Travel>Agritourism,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",mail.yahoo.com,PubMatic,Smartphone,1720462,4865,940296,1516537,20,"$5,906.46",$295.32,0.28%,$1.21,$3.43,0.41%,$6.28,62.00283936
US>Sociodemographic>PRIZM Premier Social>T2 Country Comfort,320x50,Subscribe Today - 10% Discount,"New York City, New York",foxnews.com,PulsePoint,Smartphone,34959,122,17511,31974,5,"$1,477.49",$295.50,0.35%,$12.11,$42.26,4.10%,$84.38,54.76637268
Online Behavior>United States>Validated Demographic>Age>65 or older,320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",tripadvisor.com,Yieldmo,Smartphone,10386,65,5876,10048,15,"$4,439.84",$295.99,0.63%,$68.31,$427.48,23.08%,$755.59,58.47929936
US Financial>Likely Bank Account and Services>Saving Account>Personal or Join (Financial),300x250,Sign up Today - 10% Off,"Shreveport, Louisiana",msn.com,Magnite DV+,Smartphone,177632,485,70865,95871,5,"$1,483.38",$296.68,0.27%,$3.06,$8.35,1.03%,$20.93,73.91703435
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 55-64,320x50,Sign up Today - 10% Off,"New York City, New York",timeanddate.com,Yahoo Exchange,Smartphone,44361,166,36040,40684,17,"$5,048.85",$296.99,0.37%,$30.41,$113.81,10.24%,$140.09,88.5851932
"US Financial>Estimated Discretionary Spending>Greater than $2,500",320x50,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,126337,325,51394,117635,5,"$1,487.09",$297.42,0.26%,$4.58,$11.77,1.54%,$28.94,43.68937816
Media and Entertainment>Audio and Video Streaming>Streaming Video,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",wunderground.com,OpenX,Smartphone,13713,151,8339,13051,5,"$1,490.01",$298.00,1.10%,$9.87,$108.66,3.31%,$178.68,63.89548694
US>Reach>Propensity Models>Household Consumer Expenditures>Home Office,320x50,Subscribe Today - 10% Discount,"Mobile, Alabama-Pensacola, Florida",calculator.net,Index Exchange,Smartphone,36431,108,31262,35043,11,"$3,285.83",$298.71,0.30%,$30.42,$90.19,10.19%,$105.11,89.21039865
Online Behavior>United States>Sports>College Sports,300x250,Sign up Now - 10% Off,"Los Angeles, California",weather.com,Magnite DV+,Smartphone,1109184,3142,83035,782482,25,"$7,490.86",$299.63,0.28%,$2.38,$6.75,0.80%,$90.21,10.6117457
Online Behavior>United States>Travel>Cruises and Charters,300x250,Sign up Now - 10% Off,"Los Angeles, California",ebay.com,Magnite DV+,Apple PC,161222,500,66740,149743,19,"$5,767.80",$303.57,0.31%,$11.54,$35.78,3.80%,$86.42,44.56969608
Online Behavior>United States>Hobbies and Leisure>Special Occasions>Holidays and Seasonal Events,320x50,Subscribe Today - 10% Discount,"New York City, New York",yahoo.com,GumGum,Smartphone,760502,2140,326721,700814,17,"$5,179.04",$304.65,0.28%,$2.42,$6.81,0.79%,$15.85,46.62021592
Online Behavior>United States>The Changing Consumer>B2B Work from Home,320x50,10% Discount - Ends 6/1,"New York City, New York",geeksforgeeks.org,BidSwitch,Smartphone,45397,114,716,6867,15,"$4,582.45",$305.50,0.25%,$40.20,$100.94,13.16%,"$6,400.07",10.42667832
Online Behavior>United States>People and Society>Millennials,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",accuweather.com,BidSwitch,Smartphone,23829,75,8326,18812,5,"$1,534.70",$306.94,0.31%,$20.46,$64.40,6.67%,$184.33,44.25898363
Online Behavior>United States>Autos and Vehicles>Boats and Watercraft,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",fandomwire.com,OpenX,Smartphone,111624,590,40343,101306,21,"$6,510.45",$310.02,0.53%,$11.03,$58.32,3.56%,$161.38,39.82291276
US Technology>Social Media>Likely Behavior>Heavy Facebook User,300x250,10% Discount - Ends 6/1,"New York City, New York",zillow.com,Google Ad Manager,Smartphone,312206,841,35661,292992,5,"$1,550.94",$310.19,0.27%,$1.84,$4.97,0.59%,$43.49,12.17132208
"Online Behavior>United States>Hobbies and Leisure>Contests, Awards and Prizes",300x250,Subscribe Today - 10% Discount,"Los Angeles, California",geeksforgeeks.org,BidSwitch,Apple PC,120902,333,9964,70015,15,"$4,669.01",$311.27,0.28%,$14.02,$38.62,4.50%,$468.59,14.23123616
Purchase Behaviors>Q2 Environmentally Concerned Shoppers,320x50,Sign up Now - 10% Off,"Nashville, Tennessee",cars.com,Sovrn,Smartphone,66554,169,39206,62109,6,"$1,890.89",$315.15,0.25%,$11.19,$28.41,3.55%,$48.23,63.12450692
US>Brand Propensities>Health>Beauty and Cosmetics>Bare Escentuals Buyer Propensity,300x250,10% Discount - Ends 6/1,"Ft. Wayne, Indiana",dailymail.co.uk/tvshowbiz,PubMatic,Smartphone,14922,99,10713,13992,5,"$1,578.88",$315.78,0.66%,$15.95,$105.81,5.05%,$147.38,76.5651801
Online Behavior>United States>Validated Demographic>Age>55-64,300x250,10% Discount - Ends 6/1,"Champaign & Springfield-Decatur,Illinois",accuweather.com,Magnite DV+,Smartphone,36863,116,3570,29458,15,"$4,752.82",$316.85,0.31%,$40.97,$128.93,12.93%,"$1,331.32",12.11894901
OnAudience>Interest>News>International News,300x250,Sign up Now - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",weather.com,Index Exchange,Smartphone,197192,519,80623,181763,5,"$1,584.73",$316.95,0.26%,$3.05,$8.04,0.96%,$19.66,44.35611208
Mobile - US>Device Ownership>Smartphones>iOS (Apple)>yes,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",people.com,Yieldmo,Smartphone,22175,140,14910,20074,6,"$1,909.28",$318.21,0.63%,$13.64,$86.10,4.29%,$128.05,74.27518183
Online Behavior>United States>Beauty and Fitness>Fashion and Style>Fashion Designers and Collections,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",mail.yahoo.com,Google Ad Manager,Smartphone,23774,60,10735,21076,24,"$7,657.11",$319.05,0.25%,$127.62,$322.08,40.00%,$713.28,50.93471247
Online Behavior>United States>Intent>Auto Buyers>Type>Crossover,320x50,Sign up Now - 10% Off,"Chicago, Illinois",usatoday.com,Google Ad Manager,Smartphone,25539,78,12130,24129,15,"$4,804.49",$320.30,0.31%,$61.60,$188.12,19.23%,$396.08,50.27145758
Online Behavior>United States>News>Newspapers,320x50,10% Discount - Ends 6/1,"New York City, New York",calculator.net,PubMatic,Smartphone,37176,100,31829,35639,21,"$6,753.60",$321.60,0.27%,$67.54,$181.67,21.00%,$212.18,89.30946435
OnAudience>Interest>Technology & Computing,300x50,10% Discount - Ends 6/1,"Flint-Saginaw-Bay City, Michigan",wunderground.com,PubMatic,Smartphone,23410,66,13626,22109,6,"$1,930.18",$321.70,0.28%,$29.25,$82.45,9.09%,$141.65,61.63101
US>Premium Entertainment and Pastimes>Premium Magazine Enthusiasts,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",finance.yahoo.com,PubMatic,Smartphone,109567,345,57620,97903,5,"$1,616.71",$323.34,0.31%,$4.69,$14.76,1.45%,$28.06,58.85417199
OnAudience>Interest>Life Stage,300x250,10% Discount - Ends 6/1,"Tallahassee, Florida-Thomasville, Georgia",ebay.com,Google Ad Manager,Smartphone,189462,478,53431,163634,5,"$1,625.17",$325.03,0.25%,$3.40,$8.58,1.05%,$30.42,32.65274943
Online Behavior>United States>Intent>Shopping>CPG� Cosmetics,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",weather.com,Google Ad Manager,Smartphone,43327,140,4689,31363,14,"$4,554.88",$325.35,0.32%,$32.53,$105.13,10.00%,$971.40,14.95073813
Online Behavior>United States>News>Technology News,300x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",femanin.com,BidSwitch,Smartphone,115412,490,71564,81785,21,"$6,861.54",$326.74,0.42%,$14.00,$59.45,4.29%,$95.88,87.50259828
Mobile - US>Travel>Activity>Ski Travelers,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",hindustantimes.com,Google Ad Manager,Smartphone,16580,84,11928,14527,6,"$1,965.74",$327.62,0.51%,$23.40,$118.56,7.14%,$164.80,82.10917602
Online Behavior>United States>Internet and Telecom>Web Apps and Online Tools,300x250,Sign up Today - 10% Off,"New York City, New York",realtor.com,BidSwitch,Windows PC,109372,364,58336,103569,21,"$6,928.01",$329.91,0.33%,$19.03,$63.34,5.77%,$118.76,56.32573453
Travel and Tourism>Interest (Affinity),320x50,Subscribe Today - 10% Discount,"San Francisco, California",yellowpages.com,Google Ad Manager,Smartphone,14890,60,6248,11493,6,"$1,982.42",$330.40,0.40%,$33.04,$133.14,10.00%,$317.29,54.36352562
OnAudience>Intent>Baby & Toddler>Baby Toys,300x250,10% Discount - Ends 6/1,"Augusta, Georgia",poshland.com,Magnite DV+,Windows PC,16669,26,10961,15451,5,"$1,658.36",$331.67,0.16%,$63.78,$99.49,19.23%,$151.30,70.94039221
Online Behavior>United States>Intent>Auto Buyers>Type>Sedan,300x250,Sign up Today - 10% Off,"Chicago, Illinois",mail.aol.com,Index Exchange,Windows PC,25889,110,18382,23328,15,"$4,977.78",$331.85,0.42%,$45.25,$192.27,13.64%,$270.80,78.79801097
Mobile - US>Food>Restaurant>Brand>Red Lobster,300x250,Sign up Today - 10% Off,"Chicago, Illinois",thesaurus.com,BidSwitch,Smartphone,57917,212,3650,55128,5,"$1,669.73",$333.95,0.37%,$7.88,$28.83,2.36%,$457.46,6.620954869
US>AUTO>Decision Maker for Auto Purchase>I shared equally in the decision,320x50,Sign up Today - 10% Off,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,102884,299,42841,96539,6,"$2,015.45",$335.91,0.29%,$6.74,$19.59,2.01%,$47.04,44.37688395
Online Behavior>United States>News>Weather,300x250,Sign up Now - 10% Off,"New York City, New York",wikihow.com,Google Ad Manager,Smartphone,9404,30,4781,7943,4,"$1,345.37",$336.34,0.32%,$44.85,$143.06,13.33%,$281.40,60.19136346
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25-64,300x250,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",mail.yahoo.com,Google Ad Manager,Smartphone,766674,1984,344201,720606,17,"$5,816.23",$342.13,0.26%,$2.93,$7.59,0.86%,$16.90,47.76549182
OnAudience>Interest>Hobbies & Interests>Art,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",timeanddate.com,Magnite DV+,Windows PC,22934,81,18536,21019,5,"$1,711.11",$342.22,0.35%,$21.12,$74.61,6.17%,$92.31,88.18687854
Online Behavior>United States>Beauty and Fitness>Hair Care,320x50,Sign up Today - 10% Off,"San Francisco, California",msn.com,Google Ad Manager,Smartphone,999915,2748,618816,829942,23,"$7,879.32",$342.58,0.27%,$2.87,$7.88,0.84%,$12.73,74.56135489
OnAudience>Interest>Arts & Entertainment>Fine Art,300x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",kbb.com,BidSwitch,Smartphone,37717,69,26541,35126,5,"$1,725.27",$345.05,0.18%,$25.00,$45.74,7.25%,$65.00,75.55941468
Online Behavior>United States>Intent>Shopping>Consumer Electronics>Tablets,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",finviz.com,Google Ad Manager,Smartphone,9533,66,6548,9042,16,"$5,574.54",$348.41,0.69%,$84.46,$584.76,24.24%,$851.34,72.41760672
Online Behavior>United States>Intent>Financial Intent>Loans and Credit,320x50,Sign up Now - 10% Off,"Savannah, Georgia",ebay.com,Yieldmo,Smartphone,83957,185,1420,69246,19,"$6,651.51",$350.08,0.22%,$35.95,$79.23,10.27%,"$4,684.17",2.050659966
Online Behavior>United States>Intent>Auto Buyers>Car Make>Toyota,320x50,Sign up Now - 10% Off,"Los Angeles, California",cnn.com,PubMatic,Smartphone,9060,30,5190,8621,14,"$4,934.85",$352.49,0.33%,$164.50,$544.69,46.67%,$950.84,60.20183273
Online Behavior>United States>Internet and Telecom>Web Portals,320x50,10% Discount - Ends 6/1,"Lansing, Michigan",weather.com,Google Ad Manager,Smartphone,96508,351,47065,73640,15,"$5,310.77",$354.05,0.36%,$15.13,$55.03,4.27%,$112.84,63.91227594
Online Behavior>United States>Intent>Auto Buyers>Category>Van,320x50,Sign up Today - 10% Off,"Chicago, Illinois",tasteofhome.com,Google Ad Manager,Smartphone,9153,23,4345,8376,14,"$5,007.53",$357.68,0.25%,$217.72,$547.09,60.87%,"$1,152.48",51.87440306
Online Behavior>United States>Hobbies and Leisure>Outdoors>Fishing,300x250,Sign up Today - 10% Off,"New York City, New York",mlb.com,PubMatic,Windows PC,25206,75,3588,23556,19,"$6,846.36",$360.33,0.30%,$91.28,$271.62,25.33%,"$1,908.13",15.23178808
US>Interest Propensities>Social>Premium User Generated Content,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",cnn.com,Google Ad Manager,Smartphone,88499,186,18950,71458,5,"$1,803.14",$360.63,0.21%,$9.69,$20.37,2.69%,$95.15,26.51907414
Online Behavior>United States>Home and Garden>Bed and Bath,300x250,10% Discount - Ends 6/1,"Los Angeles, California",streetinsider.com,Google Ad Manager,Apple PC,28888,85,21437,27586,19,"$6,858.58",$360.98,0.29%,$80.69,$237.42,22.35%,$319.94,77.70970782
US>Demographic>Household Income $50k+,300x50,10% Discount - Ends 6/1,"Nashville, Tennessee",thesaurus.com,Magnite DV+,Smartphone,20417,86,1016,13468,5,"$1,805.60",$361.12,0.42%,$21.00,$88.44,5.81%,"$1,777.17",7.543807544
Travel and Tourism>Interest (Affinity)>Destinations>North America,320x50,Sign up Now - 10% Off,"South Bend-Elkhart, Indiana",boattrader.com,Magnite DV+,Smartphone,12354,10,8561,11782,5,"$1,808.31",$361.66,0.08%,$180.83,$146.37,50.00%,$211.23,72.66168732
Online Behavior>United States>Sports>Team Sports>Volleyball,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",buzzfeed.com,Yieldmo,Apple PC,10066,63,6978,9369,19,"$6,879.59",$362.08,0.63%,$109.20,$683.45,30.16%,$985.90,74.47966699
Mobile - US>Travel>Destination>International Travelers>Frequent Travelers,300x250,Sign up Today - 10% Off,"New York City, New York",biblegateway.com,Smart RTB+ (Smartadserver),Apple PC,18313,60,9481,16300,4,"$1,456.93",$364.23,0.33%,$24.28,$79.56,6.67%,$153.67,58.16564417
US>Interest Propensities>Insurance>Northwestern Mutual,300x250,Sign up Today - 10% Off,"Chicago, Illinois",ebay.com,GumGum,Smartphone,229908,489,98259,212073,4,"$1,464.35",$366.09,0.21%,$2.99,$6.37,0.82%,$14.90,46.33263075
"US>B2B>Purchase DM>Technology Services, Hardware and>or Software>I have no input into the final decision",300x250,10% Discount - Ends 6/1,"Los Angeles, California",biblegateway.com,Google Ad Manager,Smartphone,130796,300,109118,122937,6,"$2,196.66",$366.11,0.23%,$7.32,$16.79,2.00%,$20.13,88.75928321
US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Coffee Connoisseurs,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",yahoo.com,Google Ad Manager,Smartphone,263752,702,127042,225121,4,"$1,465.51",$366.38,0.27%,$2.09,$5.56,0.57%,$11.54,56.43276283
Online Behavior>United States>Arts and Entertainment>Events and Listings>Film Festivals,320x50,Sign up Now - 10% Off,"Los Angeles, California",ebay.com,Google Ad Manager,Smartphone,405957,874,204189,385654,16,"$5,864.13",$366.51,0.22%,$6.71,$14.45,1.83%,$28.72,52.94616418
US>Premium Gender>Premium Gender>Males,320x50,Sign up Today - 10% Off,"Chicago, Illinois",behindthevoiceactors.com,Google Ad Manager,Smartphone,15322,55,6416,14049,5,"$1,850.46",$370.09,0.36%,$33.64,$120.77,9.09%,$288.41,45.66873087
US>Reach>Propensity Models>Luxury Home Goods Store Shopper,320x50,Sign up Today - 10% Off,"San Francisco, California",classmates.com,Google Ad Manager,Smartphone,29107,64,4047,27357,9,"$3,339.45",$371.05,0.22%,$52.18,$114.73,14.06%,$825.17,14.79328874
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Team Sports>Football (American),320x50,Subscribe Today - 10% Discount,"Tallahassee, Florida-Thomasville, Georgia",msn.com,Google Ad Manager,Smartphone,47931,170,15989,38916,4,"$1,487.23",$371.81,0.35%,$8.75,$31.03,2.35%,$93.02,41.08592867
Online Behavior>United States>Intent>Shopping>Drug Stores>Walgreens,300x50,Subscribe Today - 10% Discount,"New York City, New York",usatoday.com,Google Ad Manager,Smartphone,39373,99,23152,35857,17,"$6,342.89",$373.11,0.25%,$64.07,$161.10,17.17%,$273.97,64.56758792
